No,Age Range,SES Grade,Domicile,Gender,Job Status,Business Owned Key,Jenis bisnis apa yang Anda operasikan?,Berapa pendapatan tahunan bisnis Anda?,Di mana bisnis Anda berada?,Berapa anggaran pemasaran bulanan Anda?,Apakah Anda memiliki kantor cabang?,Apakah sudah memiliki tim internal kecil untuk bisnis Anda?,Berapa jumlah karyawan yang Anda miliki?,Apakah Anda pernah menggunakan freelancer (penyedia jasa) sebelumnya?,Dalam mencari solusi apakah Anda lebih memilih untuk:,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Masalah komunikasi,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Kualitas pekerjaan,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Memenuhi tenggat waktu,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Biaya,Tantangan apa yang Anda hadapi saat menggunakan freelancer (penyedia jasa)?: Mencari keterampilan yang tepat,Seberapa sering Anda menggunakan layanan freelancer (penyedia jasa) untuk proyek Anda?,Jasa freelancer apa yang paling sering Anda gunakan?,Apa alasan utama Anda belum pernah menggunakan freelancer (penyedia jasa)?,Apa yang bisa membuat Anda mempertimbangkan untuk menggunakan freelancer (penyedia jasa) di masa depan?,Apa hal pertama yang Anda butuhkan ketika membangun bisnis?: Desain logo,Apa hal pertama yang Anda butuhkan ketika membangun bisnis?: Pengembangan website,Apa hal pertama yang Anda butuhkan ketika membangun bisnis?: Strategi pemasaran,Apa hal pertama yang Anda butuhkan ketika membangun bisnis?: Manajemen media sosial,Seberapa puas Anda dengan nilai yang diberikan oleh layanan freelancer (penyedia jasa) untuk uang yang Anda keluarkan?,Dukungan atau sumber daya tambahan apa yang akan meningkatkan pengalaman Anda dengan layanan freelancer (penyedia jasa)?: Lebih banyak sumber daya tutorial,Dukungan atau sumber daya tambahan apa yang akan meningkatkan pengalaman Anda dengan layanan freelancer (penyedia jasa)?: Dukungan pelanggan yang lebih baik,Dukungan atau sumber daya tambahan apa yang akan meningkatkan pengalaman Anda dengan layanan freelancer (penyedia jasa)?: Lebih banyak opsi freelancer,Dukungan atau sumber daya tambahan apa yang akan meningkatkan pengalaman Anda dengan layanan freelancer (penyedia jasa)?: Opsi harga yang fleksibel,Seberapa penting faktor-faktor berikut dalam mempengaruhi keputusan Anda untuk menggunakan freelancer (penyedia jasa) tertentu? [Ulasan & Penilaian],Seberapa penting faktor-faktor berikut dalam mempengaruhi keputusan Anda untuk menggunakan freelancer (penyedia jasa) tertentu? [Kualitas Portofolio],Seberapa penting faktor-faktor berikut dalam mempengaruhi keputusan Anda untuk menggunakan freelancer (penyedia jasa) tertentu? [Harga],Seberapa penting faktor-faktor berikut dalam mempengaruhi keputusan Anda untuk menggunakan freelancer (penyedia jasa) tertentu? [Komunikasi],Bagaimana cara Anda dalam menyelesaikan masalah?,Seberapa mampu Anda membeli layanan freelancer (penyedia jasa) berdasarkan anggaran Anda saat ini?,Seberapa tertarik Anda menggunakan freelancer (penyedia jasa) untuk proyek Anda di masa depan?,Bagaimana Anda pertama kali mendengar tentang layanan freelancer (penyedia jasa)?,Platform freelancer (penyedia jasa) mana yang paling sering Anda gunakan?,Seberapa besar kemungkinan Anda merekomendasikan layanan freelancer (penyedia jasa) kepada teman dan keluarga Anda?,Apakah ada saran dan masukan untuk Sribu (Sribu.com)?,Platform freelancer,Platform freelancer1
13,25-30 tahun,Upper,Jawa Barat,Laki-Laki,Bekerja paruh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Bandung,Rp7.500.000 - Rp15.000.000,Ya,Ya,10-Jun,Ya,Mencari sendiri,,,Memenuhi tenggat waktu,,Mencari keterampilan yang tepat,Bulanan,Manajemen media sosial,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,,10,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,10,Media sosial,Sribu,10,Agar sebanding untuk rekomendasi baik untuk mencari sendiri dan rekomendasi dari aplikasi.,Sribu,1
14,31-35 tahun,Upper,DKI Jakarta,Perempuan,Tidak bekerja,Ya,Other,Kurang dari Rp750 juta,Yogyakarta,Kurang dari Rp7.500.000,Tidak,Tidak,Kurang dari 5,Tidak,Mencari sendiri,,,,,,NA,NA,Biaya terlalu tinggi,Rekomendasi dari teman atau kolega,,,,Manajemen media sosial,8,,,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,4,4,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,8,8,Media sosial,Project.co.id,9,Perbanyak iklan di media sosial,Other,0
15,25-30 tahun,Middle,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Jabodetabek,Lebih dari Rp150.000.000,Ya,Ya,20-Nov,Ya,Diberi rekomendasi,Masalah komunikasi,Kualitas pekerjaan,,Biaya,,Harian,Manajemen media sosial,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,10,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,9,Media sosial,Project.co.id,10,Bisa membuat fitur yang baru,Other,0
16,31-35 tahun,Upper,Jawa Barat,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Bandung,Rp7.500.000 - Rp15.000.000,Tidak,Ya,20-Nov,Ya,Diberi rekomendasi,Masalah komunikasi,Kualitas pekerjaan,Memenuhi tenggat waktu,,Mencari keterampilan yang tepat,Mingguan,Desain logo,NA,NA,Desain logo,,Strategi pemasaran,Manajemen media sosial,6,,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,10,Pencarian online,Sribu,9,Perbanyak lagi cabang freelance nya,Sribu,1
17,41-45 tahun,Upper,Jawa Timur,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,Manufaktur,Rp750 juta - Rp1.5 miliar,Surabaya,Kurang dari Rp7.500.000,Tidak,Ya,10-Jun,Tidak,Mencari sendiri,,,,,,NA,NA,Biaya terlalu tinggi,Harga yang lebih terjangkau,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,10,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,9,Media sosial,Upwork,10,Teruslah berpromosi dimana pun agar lebih dikenal,Other,0
18,31-35 tahun,Middle,Bali,Perempuan,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Bali,Kurang dari Rp7.500.000,Ya,Ya,10-Jun,Ya,Mencari sendiri,,,,,Mencari keterampilan yang tepat,Harian,Desain logo,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,,8,,,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,4,4,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,8,Media sosial,Fastwork,8,Pencarian kriteria dalam tugas,Other,0
19,25-30 tahun,Upper,DI Yogyakarta,Laki-Laki,Pemilik usaha/Wiraswasta,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Bali,Rp15.000.000 - Rp75.000.000,Ya,Ya,21-50,Ya,Diberi rekomendasi,Masalah komunikasi,,,,Mencari keterampilan yang tepat,Bulanan,Layanan SEO,NA,NA,,Pengembangan website,Strategi pemasaran,,8,,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,,5,5,4,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,9,Teman atau kolega,Fiverr,9,"Saya rasa sudah cukup baik, dari segi tampilan dan fitur untuk memesan",Other,0
20,25-30 tahun,Upper,Jawa Barat,Laki-Laki,Mahasiswa/pelajar,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Rp7.500.000 - Rp15.000.000,Ya,Ya,20-Nov,Ya,Diberi rekomendasi,Masalah komunikasi,Kualitas pekerjaan,,Biaya,,Mingguan,Manajemen media sosial,NA,NA,,,Strategi pemasaran,Manajemen media sosial,9,,Dukungan pelanggan yang lebih baik,,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,10,Teman atau kolega,Sribu,10,Lebih dinamis dan integritas,Sribu,1
21,25-30 tahun,Upper,Sumatera Utara,Perempuan,Bekerja penuh waktu,Ya,Manufaktur,Rp750 juta - Rp1.5 miliar,Medan,Rp75.000.000 - Rp150.000.000,Ya,Ya,20-Nov,Ya,Mencari sendiri,,,,Biaya,Mencari keterampilan yang tepat,Bulanan,Penulisan konten,NA,NA,,,Strategi pemasaran,,8,,,,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,9,10,Media sosial,Project.co.id,10,lebih banyak job lagi,Other,0
22,31-35 tahun,Upper,Jawa Barat,Perempuan,Pemilik usaha/Wiraswasta,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Rp7.500.000 - Rp15.000.000,Tidak,Tidak,Kurang dari 5,Tidak,Mencari sendiri,,,,,,NA,NA,Tidak tahu cara menemukan freelancer yang tepat,Rekomendasi dari teman atau kolega,,,Strategi pemasaran,,9,,Dukungan pelanggan yang lebih baik,,,4,4,4,4,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,8,10,Media sosial,Project.co.id,10,Tidak ada,Other,0
23,36-40 tahun,Upper,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Jabodetabek,Rp75.000.000 - Rp150.000.000,Ya,Ya,51-100,Ya,Mencari sendiri,Masalah komunikasi,Kualitas pekerjaan,,Biaya,,Harian,Manajemen media sosial,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,,8,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,,4,4,4,4,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,9,8,Media sosial,Upwork,8,Relevan,Other,0
24,31-35 tahun,Middle,Jawa Barat,Perempuan,Pemilik usaha/Wiraswasta,Ya,Manufaktur,Rp750 juta - Rp1.5 miliar,Surabaya,Rp7.500.000 - Rp15.000.000,Tidak,Ya,20-Nov,Ya,Diberi rekomendasi,,,,Biaya,,Bulanan,Desain logo,NA,NA,Desain logo,,Strategi pemasaran,Manajemen media sosial,9,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,4,4,4,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,9,9,Teman atau kolega,Project.co.id,9,Cari freelancer murah kualitas bagus,Other,0
25,36-40 tahun,Middle,Jawa Barat,Laki-Laki,Bekerja paruh waktu,Ya,Manufaktur,Kurang dari Rp750 juta,Bandung,Kurang dari Rp7.500.000,Tidak,Ya,Kurang dari 5,Ya,Mencari sendiri,,,,Biaya,Mencari keterampilan yang tepat,Triwulanan,Pengembangan website,NA,NA,,Pengembangan website,Strategi pemasaran,Manajemen media sosial,8,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,10,Media sosial,Sribu,9,"Agar aplikasinya semakin baik, lancar, dan menampilkan banyak kriteria freelancer yang berkualitas",Sribu,1
26,25-30 tahun,Middle,Maluku,Perempuan,Bekerja penuh waktu,Ya,Berbasis layanan,Kurang dari Rp750 juta,Jabodetabek,Kurang dari Rp7.500.000,Ya,Ya,51-100,Ya,Diberi rekomendasi,Masalah komunikasi,,Memenuhi tenggat waktu,,Mencari keterampilan yang tepat,Tidak menentu,Desain logo,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,10,,,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,10,Media sosial,Other,10,"Keren banget pas pertama kali buka, lengkap sekali, cuman saya baru pertama kali mendengarnya, saran saya agar lebih di perluar lagi pengenalan Sribu.com bisa melalui influenser untuk merekomendasikan bagi orang-orang yg membutuhkan jasa ini, kedepannnya saya akan gunakan ini",Other,0
27,41-45 tahun,Middle,DKI Jakarta,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Jabodetabek,Rp75.000.000 - Rp150.000.000,Ya,Ya,21-50,Ya,Diberi rekomendasi,,,Memenuhi tenggat waktu,,,Mingguan,Manajemen media sosial,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,9,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,5,4,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,9,10,Teman atau kolega,Sribu,10,Lebih banyak menyediakan freelancer yang berkualitas,Sribu,1
28,31-35 tahun,Lower,Sulawesi Utara,Perempuan,Tidak bekerja,Ya,E-commerce,Kurang dari Rp750 juta,Manado,Rp7.500.000 - Rp15.000.000,Tidak,Tidak,Kurang dari 5,Tidak,Mencari sendiri,,,,,,NA,NA,Tidak pernah memerlukan layanan tersebut,Rekomendasi dari teman atau kolega,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,8,,,,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,8,8,Media sosial,Tidak ada,8,tidak,Tidak ada,0
29,31-35 tahun,Middle,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp1.5 miliar - Rp7.5 miliar,Jabodetabek,Rp15.000.000 - Rp75.000.000,Ya,Ya,21-50,Ya,Diberi rekomendasi,,Kualitas pekerjaan,,Biaya,Mencari keterampilan yang tepat,Harian,Manajemen media sosial,NA,NA,Desain logo,Pengembangan website,Strategi pemasaran,Manajemen media sosial,9,,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,Opsi harga yang fleksibel,4,5,5,4,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,9,10,Media sosial,Project.co.id,10,Lebih banyak promo yang menarik untuk pengguna jasa,Other,0
30,25-30 tahun,Upper,Jawa Barat,Perempuan,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Rp7.500.000 - Rp15.000.000,Ya,Ya,20-Nov,Ya,Mencari sendiri,,Kualitas pekerjaan,,,Mencari keterampilan yang tepat,Mingguan,Manajemen media sosial,NA,NA,,Pengembangan website,Strategi pemasaran,Manajemen media sosial,10,Lebih banyak sumber daya tutorial,,,Opsi harga yang fleksibel,5,5,5,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,10,Media sosial,Project.co.id,10,Tidak ada karena sudah cukup baik.,Other,0
31,31-35 tahun,Upper,Jawa Barat,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Rp750 juta - Rp1.5 miliar,Jabodetabek,Rp7.500.000 - Rp15.000.000,Tidak,Ya,10-Jun,Ya,Mencari sendiri,,Kualitas pekerjaan,Memenuhi tenggat waktu,,Mencari keterampilan yang tepat,Bulanan,Penulisan konten,NA,NA,,,Strategi pemasaran,,9,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,Lebih banyak opsi freelancer,,5,5,5,4,Saya lebih suka berbagi masalah saya dan menunggu orang lain menawarkan bantuan,10,10,Media sosial,Project.co.id,10,SUDAH BAIK,Other,0
32,36-40 tahun,Middle,DKI Jakarta,Laki-Laki,Bekerja penuh waktu,Ya,E-commerce,Kurang dari Rp750 juta,Jabodetabek,Rp7.500.000 - Rp15.000.000,Tidak,Ya,Kurang dari 5,Ya,Mencari sendiri,,Kualitas pekerjaan,,Biaya,,Harian,Pengembangan website,NA,NA,,Pengembangan website,Strategi pemasaran,Manajemen media sosial,10,Lebih banyak sumber daya tutorial,Dukungan pelanggan yang lebih baik,,,5,5,3,5,Saya lebih suka mencari sendiri siapa yang bisa membantu saya,10,10,Pencarian online,Project.co.id,10,Pilihan tugas lebih bervariasi dan mengikuti kebutuhan pasar,Other,0
